HomeElo,AwayElo,HT_RecentPoints,HT_HomeRecentPoints,HT_AwayRecentPoints,HT_TotalPoints,AT_RecentPoints,AT_HomeRecentPoints,AT_AwayRecentPoints,AT_TotalPoints,HT_RecentGoals,HT_HomeRecentGoals,HT_AwayRecentGoals,HT_RecentGD,HT_HomeRecentGD,HT_AwayRecentGD,HT_TotalGoals,HT_TotalGD,AT_RecentGoals,AT_HomeRecentGoals,AT_AwayRecentGoals,AT_RecentGD,AT_HomeRecentGD,AT_AwayRecentGD,AT_TotalGoals,AT_TotalGD,HT_RecentShots,HT_HomeRecentShots,HT_AwayRecentShots,HT_RecentSOT,HT_HomeRecentSOT,HT_AwayRecentSOT,HT_TotalShots,HT_TotalSOT,AT_RecentShots,AT_HomeRecentShots,AT_AwayRecentShots,AT_RecentSOT,AT_HomeRecentSOT,AT_AwayRecentSOT,AT_TotalShots,AT_TotalSOT,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR,EloDiff,PointsDiff,RecentPointsDiff,HomeAwayPointsDiff,GoalsDiff,RecentGoalsDiff,HomeAwayGoalsDiff,GDDiff,RecentGDDiff,HomeAwayGDDiff,ShotsDiff,RecentShotsDiff,HomeAwayShotsDiff,SOTDiff,RecentSOTDiff,HomeAwaySOTDiff,ARDiff,MRDiff,DRDiff,ORDiff,B365H,B365D,B365A,Season,FTR
1000.0,1000.0,,,,0,,,,0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,79,78,75,79,77,75,76,76,0.0,0,,,0.0,,,0.0,,,0.0,,,0.0,,,2,3,-1,3,1.33,5.75,10.0,2014-15,H
1000.0,1000.0,,,,0,,,,0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,71,70,71,70,82,82,81,83,0.0,0,,,0.0,,,0.0,,,0.0,,,0.0,,,-11,-12,-10,-13,9.0,5.0,1.4,2014-15,A
1010.0,1000.0,,,,3,,,,0,,,,,,,3.0,2.0,,,,,,,0.0,0.0,,,,,,,11.0,3.0,,,,,,,0.0,0.0,82,82,81,83,71,72,68,72,10.0,3,,,3.0,,,2.0,,,11.0,,,3.0,,,11,10,13,11,1.2,7.5,17.0,2014-15,H
1000.0,1000.0,,,,0,,,,0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,73,73,73,73,75,74,72,75,0.0,0,,,0.0,,,0.0,,,0.0,,,0.0,,,-2,-1,1,-2,2.5,3.3,3.1,2014-15,A
1000.0,1000.0,,,,0,,,,0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,78,78,78,78,80,80,77,80,0.0,0,,,0.0,,,0.0,,,0.0,,,0.0,,,-2,-2,1,-2,2.8,3.4,2.7,2014-15,D
990.0,1000.0,,,,0,,,,0,,,,,,,1.0,-1.0,,,,,,,0.0,0.0,,,,,,,12.0,6.0,,,,,,,0.0,0.0,77,75,76,76,74,74,71,74,-10.0,0,,,1.0,,,-1.0,,,12.0,,,6.0,,,3,1,5,2,1.85,3.7,4.75,2014-15,D
1000.0,990.0,,,,0,,,,0,,,,,,,0.0,0.0,,,,,,,1.0,-2.0,,,,,,,0.0,0.0,,,,,,,9.0,2.0,77,74,74,75,71,70,71,70,10.0,0,,,-1.0,,,2.0,,,-9.0,,,-2.0,,,6,4,3,5,1.65,4.0,6.0,2014-15,H
1000.0,1000.0,,,,0,,,,0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,75,73,70,73,76,75,74,76,0.0,0,,,0.0,,,0.0,,,0.0,,,0.0,,,-1,-2,-4,-3,2.5,3.25,3.2,2014-15,D
1000.0,1000.0,,,,0,,,,0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,76,73,72,74,85,80,75,81,0.0,0,,,0.0,,,0.0,,,0.0,,,0.0,,,-9,-7,-3,-7,5.0,4.0,1.75,2014-15,D
1000.0,1000.0,,,,0,,,,0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,78,77,77,78,74,74,71,75,0.0,0,,,0.0,,,0.0,,,0.0,,,0.0,,,4,3,6,3,1.45,4.75,8.0,2014-15,H
1000.0,1010.0,,,,0,,,,3,,,,,,,0.0,0.0,,,,,,,2.0,1.0,,,,,,,0.0,0.0,,,,,,,12.0,5.0,83,82,81,82,79,78,75,79,-10.0,-3,,,-2.0,,,-1.0,,,-12.0,,,-5.0,,,4,4,6,3,1.85,4.0,4.33,2014-15,H
980.28774368332,1000.0,,,,0,,,,1,,,,,,,1.0,-3.0,,,,,,,1.0,0.0,,,,,,,21.0,3.0,,,,,,,10.0,3.0,71,70,71,70,85,80,75,81,-19.712256316680055,-1,,,0.0,,,-3.0,,,11.0,,,0.0,,,-14,-10,-4,-11,6.0,4.2,1.62,2014-15,D
1000.0,1019.71225631668,,,,1,,,,6,,,,,,,2.0,0.0,,,,,,,5.0,4.0,,,,,,,8.0,2.0,,,,,,,38.0,13.0,78,78,78,78,82,82,81,83,-19.712256316680055,-5,,,-3.0,,,-4.0,,,-30.0,,,-11.0,,,-4,-4,-3,-5,3.75,3.3,2.2,2014-15,A
1010.28774368332,1000.0,,,,3,,,,1,,,,,,,3.0,2.0,,,,,,,1.0,0.0,,,,,,,9.0,4.0,,,,,,,19.0,3.0,83,82,81,82,76,75,74,76,10.287743683319945,2,,,2.0,,,2.0,,,-10.0,,,1.0,,,7,7,7,6,1.18,8.0,18.0,2014-15,A
990.0,1000.0,,,,0,,,,1,,,,,,,0.0,-4.0,,,,,,,1.0,0.0,,,,,,,9.0,1.0,,,,,,,11.0,3.0,74,74,71,75,76,73,72,74,-10.0,-1,,,-1.0,,,-4.0,,,-2.0,,,-2.0,,,-2,1,-1,1,2.4,3.25,3.3,2014-15,H
1009.71225631668,999.71225631668,,,,3,,,,1,,,,,,,1.0,1.0,,,,,,,0.0,0.0,,,,,,,10.0,5.0,,,,,,,8.0,2.0,77,74,74,75,74,74,71,74,10.0,2,,,1.0,,,1.0,,,2.0,,,3.0,,,3,0,3,1,1.85,3.6,4.75,2014-15,H
1010.0,990.28774368332,,,,3,,,,1,,,,,,,3.0,2.0,,,,,,,1.0,-1.0,,,,,,,17.0,8.0,,,,,,,20.0,8.0,75,74,72,75,77,75,76,76,19.712256316680055,2,,,2.0,,,3.0,,,-3.0,,,0.0,,,-2,-1,-4,-1,2.8,3.4,2.7,2014-15,A
1000.0,1000.0,,,,0,,,,1,,,,,,,0.0,0.0,,,,,,,1.0,0.0,,,,,,,0.0,0.0,,,,,,,9.0,2.0,72,74,74,75,75,73,70,73,0.0,-1,,,-1.0,,,0.0,,,-9.0,,,-2.0,,,-3,1,4,2,2.3,3.3,3.5,2014-15,H
990.28774368332,1000.0,,,,0,,,,1,,,,,,,0.0,-2.0,,,,,,,2.0,0.0,,,,,,,6.0,4.0,,,,,,,13.0,3.0,71,72,68,72,80,80,77,80,-9.712256316680055,-1,,,-2.0,,,-2.0,,,-7.0,,,1.0,,,-9,-8,-9,-8,4.75,3.75,1.83,2014-15,D
1010.0,999.71225631668,,,,3,,,,3,,,,,,,4.0,4.0,,,,,,,3.0,-1.0,,,,,,,18.0,5.0,,,,,,,23.0,8.0,78,77,77,78,79,78,75,79,10.287743683319945,0,,,1.0,,,5.0,,,-5.0,,,-3.0,,,-1,-1,2,-1,2.7,3.5,2.7,2014-15,A
999.7205315838,999.9917251272817,,,,2,,,,3,,,,,,,3.0,0.0,,,,,,,3.0,1.0,,,,,,,37.0,9.0,,,,,,,25.0,6.0,80,80,77,80,83,82,81,82,-0.27119354348167235,-1,,,0.0,,,-1.0,,,12.0,,,3.0,,,-3,-2,-4,-2,3.0,3.4,2.5,2014-15,D
1029.14549997581,1019.4245126333601,,,,9,,,,6,,,,,,,11.0,7.0,,,,,,,4.0,4.0,,,,,,,50.0,21.0,,,,,,,25.0,13.0,82,82,81,83,77,74,74,75,9.720987342449916,3,,,7.0,,,3.0,,,25.0,,,8.0,,,5,8,7,8,1.3,5.75,12.0,2014-15,H
990.0,980.8545000241899,,,,0,,,,1,,,,,,,1.0,-2.0,,,,,,,1.0,-3.0,,,,,,,9.0,4.0,,,,,,,30.0,6.0,73,73,73,73,71,70,71,70,9.14549997581014,-1,,,0.0,,,1.0,,,-21.0,,,-2.0,,,2,3,2,3,2.25,3.3,3.6,2014-15,D
1010.0082748727183,1010.0,,,,6,,,,3,,,,,,,6.0,2.0,,,,,,,2.0,1.0,,,,,,,40.0,16.0,,,,,,,11.0,4.0,79,78,75,79,72,74,74,75,0.008274872718288862,3,,,4.0,,,1.0,,,29.0,,,12.0,,,7,4,1,4,1.3,6.0,11.0,2014-15,A
1010.2960185560382,990.5672120995199,,,,4,,,,1,,,,,,,2.0,1.0,,,,,,,1.0,-2.0,,,,,,,26.0,5.0,,,,,,,15.0,7.0,76,75,74,76,71,72,68,72,19.728806456518328,3,,,1.0,,,3.0,,,11.0,,,-2.0,,,5,3,6,4,2.1,3.4,4.0,2014-15,A
989.71225631668,999.7039814439618,,,,1,,,,3,,,,,,,1.0,-1.0,,,,,,,4.0,1.0,,,,,,,27.0,9.0,,,,,,,25.0,6.0,76,73,72,74,78,77,77,78,-9.991725127281711,-2,,,-3.0,,,-2.0,,,2.0,,,3.0,,,-2,-4,-5,-4,3.6,3.5,2.15,2014-15,D
990.0,990.5667563408699,,,,1,,,,1,,,,,,,0.0,-3.0,,,,,,,5.0,-3.0,,,,,,,24.0,4.0,,,,,,,25.0,9.0,74,74,71,74,78,78,78,78,-0.5667563408699152,0,,,-5.0,,,0.0,,,-1.0,,,-5.0,,,-4,-4,-7,-4,3.5,3.5,2.2,2014-15,A
999.4332436591301,1000.28774368332,,,,2,,,,3,,,,,,,1.0,0.0,,,,,,,1.0,-3.0,,,,,,,17.0,5.0,,,,,,,27.0,6.0,85,80,75,81,74,74,71,75,-0.8545000241898606,-1,,,0.0,,,3.0,,,-10.0,,,-1.0,,,11,6,4,6,1.29,6.25,12.0,2014-15,H
990.0,999.4332436591301,,,,1,,,,3,,,,,,,2.0,-1.0,,,,,,,4.0,0.0,,,,,,,18.0,5.0,,,,,,,21.0,10.0,75,73,70,73,75,74,72,75,-9.433243659130085,-2,,,-2.0,,,-1.0,,,-3.0,,,-5.0,,,0,-1,-2,-2,2.15,3.4,3.75,2014-15,D
